id,download_id,series,datum,utm_zone,date,size
A Coruña,9074184,02109,ETRS89,29,2011,1.8
A Coruña,9074197,02109,ETRS89,30,2011,1.74
Araba/Álava,9074198,02109,ETRS89,30,2012,1.44
Albacete,9074199,02109,ETRS89,30,2009,4.11
Alborán,9074200,02109,ETRS89,30,2002,0.01
Alacant/Alicante,9074201,02109,ETRS89,30,2009,1.43
Alacant/Alicante,9074248,02109,ETRS89,31,2009,0.22
Almería,9074202,02109,ETRS89,30,"2014, 2015",2.34
Asturias,9074185,02109,ETRS89,29,2012,1.32
Asturias,9074203,02109,ETRS89,30,2012,2.23
Ávila,9074204,02109,ETRS89,30,"2010, 2015",2.65
Badajoz,9074186,02109,ETRS89,29,2010,2.99
Badajoz,9074205,02109,ETRS89,30,2010,4.99
Illes Balears,9074206,02109,ETRS89,30,2014,0.57
Illes Balears,9074249,02109,ETRS89,31,2014,0.57
Barcelona,9074207,02109,ETRS89,30,"2008, 2009, 2010",1.99
Barcelona,9074250,02109,ETRS89,31,"2008, 2009, 2010",1.96
Burgos,9074208,02109,ETRS89,30,"2010, 2012",4.19
Cáceres,9074187,02109,ETRS89,29,2010,2.54
Cáceres,9074209,02109,ETRS89,30,2010,3.97
Cádiz,9074188,02109,ETRS89,29,"2014, 2015",0.66
Cádiz,9074210,02109,ETRS89,30,"2014, 2015",1.44
Cantabria,9074211,02109,ETRS89,30,2012,1.62
Castelló/Castellón,9074212,02109,ETRS89,30,2009,1.82
Castelló/Castellón,9074251,02109,ETRS89,31,2009,0.95
Ceuta,9074213,02109,ETRS89,30,2014,0.01
Ciudad Real,9074214,02109,ETRS89,30,2009,4.16
Córdoba,9074215,02109,ETRS89,30,"2009, 2014",3.59
Cuenca,9074216,02109,ETRS89,30,2009,4.05
España,11608426,02109,ETRS89,NA,"2009, 2015",57.4
Girona,9074217,02109,ETRS89,30,"2008, 2009, 2010, 2011",1.51
Girona,9074252,02109,ETRS89,31,"2008, 2009, 2010, 2011",1.51
Granada,9074218,02109,ETRS89,30,"2014, 2015",3.85
Guadalajara,9074219,02109,ETRS89,30,2009,3.47
Gipuzkoa,9074220,02109,ETRS89,30,2012,0.74
Huelva,9074189,02109,ETRS89,29,"2014, 2015",1.97
Huelva,9074221,02109,ETRS89,30,"2014, 2015",2.06
Huesca,9074222,02109,ETRS89,30,"2010, 2011, 2012",3.36
Huesca,9074253,02109,ETRS89,31,"2010, 2011, 2012",1.96
Jaén,9074223,02109,ETRS89,30,"2009, 2014",3.31
La Rioja,9074224,02109,ETRS89,30,"2010, 2012",1.87
Las Palmas,9074258,02109,REGCAN95,28,2016,0.47
León,9074190,02109,ETRS89,29,"2010, 2012",2.52
León,9074225,02109,ETRS89,30,"2010, 2012",3.83
Lleida,9074226,02109,ETRS89,30,"2008, 2009, 2010, 2011",2.97
Lleida,9074254,02109,ETRS89,31,"2008, 2009, 2010, 2011",2.95
Lugo,9074191,02109,ETRS89,29,"2009, 2011",2.32
Lugo,9074227,02109,ETRS89,30,"2009, 2011",2.29
Madrid,9074228,02109,ETRS89,30,2010,2.97
Málaga,9074229,02109,ETRS89,30,"2014, 2015",2.21
Melilla,9074230,02109,ETRS89,30,2014,0.01
Murcia,9074231,02109,ETRS89,30,2009,3.06
Navarra,9074232,02109,ETRS89,30,2012,2.98
Ourense,9074192,02109,ETRS89,29,2009,1.69
Ourense,9074233,02109,ETRS89,30,2009,1.71
Palencia,9074234,02109,ETRS89,30,"2010, 2012",2.36
Pontevedra,9074193,02109,ETRS89,29,"2009, 2011",1.44
Pontevedra,9074235,02109,ETRS89,30,"2009, 2011",1.38
Salamanca,9074194,02109,ETRS89,29,2015,1.46
Salamanca,9074236,02109,ETRS89,30,2015,2.36
Santa Cruz de Tenerife,9074259,02109,REGCAN95,28,2016,0.39
Segovia,9074237,02109,ETRS89,30,2010,2.27
Sevilla,9074195,02109,ETRS89,29,"2014, 2015",1.54
Sevilla,9074238,02109,ETRS89,30,"2014, 2015",3.63
Soria,9074239,02109,ETRS89,30,2010,2.78
Tarragona,9074240,02109,ETRS89,30,"2009, 2010, 2011",1.76
Tarragona,9074255,02109,ETRS89,31,"2009, 2010, 2011",1.75
Teruel,9074241,02109,ETRS89,30,2010,4.14
Teruel,9074256,02109,ETRS89,31,2010,1.21
Toledo,9074242,02109,ETRS89,30,2009,3.66
València/Valencia,9074243,02109,ETRS89,30,2009,3.04
Valladolid,9074244,02109,ETRS89,30,"2010, 2015",2.72
Bizkaia,9074245,02109,ETRS89,30,2012,0.75
Zamora,9074196,02109,ETRS89,29,"2010, 2015",1.68
Zamora,9074246,02109,ETRS89,30,"2010, 2015",2.37
Zaragoza,9074247,02109,ETRS89,30,"2010, 2012",6.02
Zaragoza,9074257,02109,ETRS89,31,"2010, 2012",1.69
