id,name,datum,utm_zone
9074184,A Coruña,ETRS89,29
9074197,A Coruña,ETRS89,30
9074198,Araba/Álava,ETRS89,30
9074199,Albacete,ETRS89,30
9074200,Alborán,ETRS89,30
9074201,Alacant/Alicante,ETRS89,30
9074248,Alacant/Alicante,ETRS89,31
9074202,Almería,ETRS89,30
9074185,Asturias,ETRS89,29
9074203,Asturias,ETRS89,30
9074204,Ávila,ETRS89,30
9074186,Badajoz,ETRS89,29
9074205,Badajoz,ETRS89,30
9074206,Illes Balears,ETRS89,30
9074249,Illes Balears,ETRS89,31
9074207,Barcelona,ETRS89,30
9074250,Barcelona,ETRS89,31
9074208,Burgos,ETRS89,30
9074187,Cáceres,ETRS89,29
9074209,Cáceres,ETRS89,30
9074188,Cádiz,ETRS89,29
9074210,Cádiz,ETRS89,30
9074211,Cantabria,ETRS89,30
9074212,Castelló/Castellón,ETRS89,30
9074251,Castelló/Castellón,ETRS89,31
9074213,Ceuta,ETRS89,30
9074214,Ciudad Real,ETRS89,30
9074215,Córdoba,ETRS89,30
9074216,Cuenca,ETRS89,30
9074217,Girona,ETRS89,30
9074252,Girona,ETRS89,31
9074218,Granada,ETRS89,30
9074219,Guadalajara,ETRS89,30
9074220,Gipuzkoa,ETRS89,30
9074189,Huelva,ETRS89,29
9074221,Huelva,ETRS89,30
9074222,Huesca,ETRS89,30
9074253,Huesca,ETRS89,31
9074223,Jaén,ETRS89,30
9074224,La Rioja,ETRS89,30
9074258,Las Palmas,REGCAN95,28
9074190,León,ETRS89,29
9074225,León,ETRS89,30
9074226,Lleida,ETRS89,30
9074254,Lleida,ETRS89,31
9074191,Lugo,ETRS89,29
9074227,Lugo,ETRS89,30
9074228,Madrid,ETRS89,30
9074229,Málaga,ETRS89,30
9074230,Melilla,ETRS89,30
9074231,Murcia,ETRS89,30
9074232,Navarra,ETRS89,30
9074192,Ourense,ETRS89,29
9074233,Ourense,ETRS89,30
9074234,Palencia,ETRS89,30
9074193,Pontevedra,ETRS89,29
9074235,Pontevedra,ETRS89,30
9074194,Salamanca,ETRS89,29
9074236,Salamanca,ETRS89,30
9074259,Santa Cruz de Tenerife,REGCAN95,28
9074237,Segovia,ETRS89,30
9074195,Sevilla,ETRS89,29
9074238,Sevilla,ETRS89,30
9074239,Soria,ETRS89,30
9074240,Tarragona,ETRS89,30
9074255,Tarragona,ETRS89,31
9074241,Teruel,ETRS89,30
9074256,Teruel,ETRS89,31
9074242,Toledo,ETRS89,30
9074243,València/Valencia,ETRS89,30
9074244,Valladolid,ETRS89,30
9074245,Bizkaia,ETRS89,30
9074196,Zamora,ETRS89,29
9074246,Zamora,ETRS89,30
9074247,Zaragoza,ETRS89,30
9074257,Zaragoza,ETRS89,31
