filename,id,datum,utm_zone,date,size
A Coruña - Huso 29,A Coruña,ETRS89,29,2011,1.8
A Coruña - Huso 30,A Coruña,ETRS89,30,2011,1.74
Álava - Huso 30,Araba/Álava,ETRS89,30,2012,1.44
Albacete - Huso 30,Albacete,ETRS89,30,2009,4.11
Alborán - Huso 30,Alborán,ETRS89,30,2002,0.01
Alicante/Alacant - Huso 30,Alacant/Alicante,ETRS89,30,2009,1.43
Alicante/Alacant - Huso 31,Alacant/Alicante,ETRS89,31,2009,0.22
Almería - Huso 30,Almería,ETRS89,30,"2014, 2015",2.34
Asturias - Huso 29,Asturias,ETRS89,29,2012,1.32
Asturias - Huso 30,Asturias,ETRS89,30,2012,2.23
Ávila - Huso 30,Ávila,ETRS89,30,"2010, 2015",2.65
Badajoz - Huso 29,Badajoz,ETRS89,29,2010,2.99
Badajoz - Huso 30,Badajoz,ETRS89,30,2010,4.99
"Balears, Illes - Huso 30",Illes Balears,ETRS89,30,2014,0.57
"Balears, Illes - Huso 31",Illes Balears,ETRS89,31,2014,0.57
Barcelona - Huso 30,Barcelona,ETRS89,30,"2008, 2009, 2010",1.99
Barcelona - Huso 31,Barcelona,ETRS89,31,"2008, 2009, 2010",1.96
Burgos - Huso 30,Burgos,ETRS89,30,"2010, 2012",4.19
Cáceres - Huso 29,Cáceres,ETRS89,29,2010,2.54
Cáceres - Huso 30,Cáceres,ETRS89,30,2010,3.97
Cádiz - Huso 29,Cádiz,ETRS89,29,"2014, 2015",0.66
Cádiz - Huso 30,Cádiz,ETRS89,30,"2014, 2015",1.44
Cantabria - Huso 30,Cantabria,ETRS89,30,2012,1.62
Castellón - Huso 30,Castelló/Castellón,ETRS89,30,2009,1.82
Castellón - Huso 31,Castelló/Castellón,ETRS89,31,2009,0.95
Ceuta - Huso 30,Ceuta,ETRS89,30,2014,0.01
Ciudad Real - Huso 30,Ciudad Real,ETRS89,30,2009,4.16
Córdoba - Huso 30,Córdoba,ETRS89,30,"2009, 2014",3.59
Cuenca - Huso 30,Cuenca,ETRS89,30,2009,4.05
España,España,ETRS89,NA,"2009, 2015",57.4
Girona - Huso 30,Girona,ETRS89,30,"2008, 2009, 2010",1.51
Girona - Huso 31,Girona,ETRS89,31,"2008, 2009, 2010",1.51
Granada - Huso 30,Granada,ETRS89,30,"2014, 2015",3.85
Guadalajara - Huso 30,Guadalajara,ETRS89,30,2009,3.47
Guipúzcoa - Huso 30,Gipuzkoa,ETRS89,30,2012,0.74
Huelva - Huso 29,Huelva,ETRS89,29,"2014, 2015",1.97
Huelva - Huso 30,Huelva,ETRS89,30,"2014, 2015",2.06
Huesca - Huso 30,Huesca,ETRS89,30,"2010, 2011, 2012",3.36
Huesca - Huso 31,Huesca,ETRS89,31,"2010, 2011, 2012",1.96
Jaén - Huso 30,Jaén,ETRS89,30,"2009, 2014",3.31
La Rioja - Huso 30,La Rioja,ETRS89,30,"2010, 2012",1.87
Las Palmas - Huso 28,Las Palmas,REGCAN95,28,2016,0.47
León - Huso 29,León,ETRS89,29,"2010, 2012",2.52
León - Huso 30,León,ETRS89,30,"2010, 2012",3.83
Lleida - Huso 30,Lleida,ETRS89,30,"2008, 2009, 2010",2.97
Lleida - Huso 31,Lleida,ETRS89,31,"2008, 2009, 2010",2.95
Lugo - Huso 29,Lugo,ETRS89,29,"2009, 2011",2.32
Lugo - Huso 30,Lugo,ETRS89,30,"2009, 2011",2.29
Madrid - Huso 30,Madrid,ETRS89,30,2010,2.97
Málaga - Huso 30,Málaga,ETRS89,30,"2014, 2015",2.21
Melilla - Huso 30,Melilla,ETRS89,30,2014,0.01
Murcia - Huso 30,Murcia,ETRS89,30,2009,3.06
Navarra - Huso 30,Navarra,ETRS89,30,2012,2.98
Ourense - Huso 29,Ourense,ETRS89,29,2009,1.69
Ourense - Huso 30,Ourense,ETRS89,30,2009,1.71
Palencia - Huso 30,Palencia,ETRS89,30,"2010, 2012",2.36
Pontevedra - Huso 29,Pontevedra,ETRS89,29,"2009, 2011",1.44
Pontevedra - Huso 30,Pontevedra,ETRS89,30,"2009, 2011",1.38
Salamanca - Huso 29,Salamanca,ETRS89,29,2015,1.46
Salamanca - Huso 30,Salamanca,ETRS89,30,2015,2.36
Santa Cruz de Tenerife - Huso 28,Santa Cruz de Tenerife,REGCAN95,28,2016,0.39
Segovia - Huso 30,Segovia,ETRS89,30,2010,2.27
Sevilla - Huso 29,Sevilla,ETRS89,29,"2014, 2015",1.54
Sevilla - Huso 30,Sevilla,ETRS89,30,"2014, 2015",3.63
Soria - Huso 30,Soria,ETRS89,30,2010,2.78
Tarragona - Huso 30,Tarragona,ETRS89,30,"2009, 2010, 2011",1.76
Tarragona - Huso 31,Tarragona,ETRS89,31,"2009, 2010, 2011",1.75
Teruel - Huso 30,Teruel,ETRS89,30,2010,4.14
Teruel - Huso 31,Teruel,ETRS89,31,2010,1.21
Toledo - Huso 30,Toledo,ETRS89,30,2009,3.66
Valencia - Huso 30,València/Valencia,ETRS89,30,2009,3.04
Valladolid - Huso 30,Valladolid,ETRS89,30,"2010, 2015",2.72
Vizcaya - Huso 30,Bizkaia,ETRS89,30,2012,0.75
Zamora - Huso 29,Zamora,ETRS89,29,"2010, 2015",1.68
Zamora - Huso 30,Zamora,ETRS89,30,"2010, 2015",2.37
Zaragoza - Huso 30,Zaragoza,ETRS89,30,"2010, 2012",6.02
Zaragoza - Huso 31,Zaragoza,ETRS89,31,"2010, 2012",1.69
